sample,mae,sam,psnr,ssim
ROIs1970_fall_s2_125_p208,0.01037637609988451,0.06846883893013,36.29841995239258,0.9392580389976501
ROIs1158_spring_s2_113_p64,0.015983151271939278,0.09336495399475098,32.03659439086914,0.8639397621154785
ROIs1970_fall_s2_22_p463,0.01588253304362297,0.09893955290317535,31.783870697021484,0.8409356474876404
ROIs1970_fall_s2_3_p717,0.02392670325934887,0.10545225441455841,28.833147048950195,0.7976590991020203
ROIs1868_summer_s2_43_p642,0.008269084617495537,0.05240651220083237,39.17273712158203,0.9706088304519653
ROIs2017_winter_s2_49_p699,0.02704199030995369,0.07249510288238525,28.1380615234375,0.8822843432426453
ROIs1868_summer_s2_4_p775,0.013287516310811043,0.05704929679632187,33.602779388427734,0.943343997001648
ROIs2017_winter_s2_61_p704,0.04528661072254181,0.05243322253227234,24.43494415283203,0.8316367268562317
ROIs1158_spring_s2_66_p585,0.02397674322128296,0.053470678627491,29.675689697265625,0.9633946418762207
ROIs1970_fall_s2_147_p131,0.014624757692217827,0.07098053395748138,33.091941833496094,0.9063779711723328
ROIs1158_spring_s2_9_p389,0.014481283724308014,0.0713096335530281,32.83807373046875,0.9068533182144165
ROIs1868_summer_s2_146_p408,0.012304307892918587,0.08837966620922089,34.52532196044922,0.9234417080879211
ROIs1868_summer_s2_40_p916,0.009486178867518902,0.0510188564658165,36.9982795715332,0.9486083388328552
ROIs1158_spring_s2_113_p295,0.018759246915578842,0.0999060645699501,30.916563034057617,0.7987967729568481
ROIs2017_winter_s2_107_p357,0.013334440067410469,0.08876588195562363,34.83123779296875,0.9047971367835999
ROIs1970_fall_s2_114_p705,0.015415586531162262,0.10785529017448425,32.426414489746094,0.8833960890769958
ROIs1158_spring_s2_115_p410,0.01342106331139803,0.0806184783577919,32.48295211791992,0.8988671898841858
ROIs1158_spring_s2_8_p448,0.03989797458052635,0.19739007949829102,25.453022003173828,0.8278939723968506
ROIs1970_fall_s2_120_p390,0.020114727318286896,0.12072868645191193,28.89522933959961,0.7835775017738342
ROIs1868_summer_s2_121_p154,0.02248242497444153,0.12385232001543045,28.91312026977539,0.7791574597358704
ROIs1970_fall_s2_135_p146,0.025078412145376205,0.15995484590530396,29.13868522644043,0.8056092262268066
ROIs1970_fall_s2_133_p169,0.010461474768817425,0.07492479681968689,35.55010986328125,0.9298543334007263
ROIs1970_fall_s2_14_p657,0.011137506924569607,0.08320958912372589,35.4276008605957,0.9181264042854309
ROIs1970_fall_s2_119_p44,0.01882578618824482,0.11087242513895035,30.575632095336914,0.8777172565460205
ROIs1158_spring_s2_147_p184,0.01913907192647457,0.08316163718700409,30.118852615356445,0.864564836025238
ROIs1868_summer_s2_119_p722,0.022660771384835243,0.10847429931163788,29.632455825805664,0.7882088422775269
ROIs1868_summer_s2_125_p467,0.008887539617717266,0.07631026208400726,38.39414596557617,0.9657652378082275
ROIs1970_fall_s2_22_p118,0.014376502484083176,0.08488218486309052,32.74917221069336,0.8766353726387024
ROIs1158_spring_s2_134_p601,0.011681973934173584,0.0928293839097023,34.57508087158203,0.9221311807632446
ROIs1158_spring_s2_145_p144,0.015411127358675003,0.05566658079624176,32.54624938964844,0.9058747291564941
ROIs1868_summer_s2_11_p322,0.007827049121260643,0.0373665951192379,37.847900390625,0.9584466814994812
ROIs1868_summer_s2_19_p317,0.01706133782863617,0.055091697722673416,32.5927734375,0.9302176237106323
ROIs1868_summer_s2_72_p465,0.024899939075112343,0.04333939030766487,29.516324996948242,0.9378609657287598
ROIs1970_fall_s2_82_p226,0.02103189006447792,0.09163831174373627,29.852649688720703,0.9094868898391724
ROIs1158_spring_s2_26_p342,0.4316127896308899,0.43255773186683655,6.076972007751465,0.3189156949520111
