phase,epoch,step,elapsed_s,loss,mae_mirror,mse_mirror,mae,sam,psnr,ssim
train,1,33844,1119.8,0.097396,,,,,,
train,1,33944,1123.0,0.089787,,,,,,
train,1,34044,1125.9,0.094651,,,,,,
train,1,34144,1128.7,0.098194,,,,,,
train,1,34244,1131.6,0.103961,,,,,,
train,1,34344,1134.4,0.099095,,,,,,
train,1,34444,1137.3,0.106419,,,,,,
train,1,34544,1140.1,0.099222,,,,,,
train,1,34644,1142.9,0.104026,,,,,,
train,1,34744,1145.8,0.095297,,,,,,
train,1,34844,1148.6,0.087585,,,,,,
train,1,34944,1151.5,0.103208,,,,,,
train,1,35044,1154.3,0.096329,,,,,,
train,1,35144,1157.2,0.098934,,,,,,
train,1,35244,1160.0,0.095090,,,,,,
train,1,35344,1162.9,0.101361,,,,,,
train,1,35444,1165.7,0.099057,,,,,,
train,1,35544,1168.6,0.101765,,,,,,
train,1,35644,1171.4,0.102303,,,,,,
train,1,35744,1174.3,0.105473,,,,,,
train,1,35844,1177.1,nan,,,,,,
train,1,35944,1179.9,0.094997,,,,,,
train,1,36044,1182.8,0.095212,,,,,,
train,1,36144,1185.6,0.094347,,,,,,
train,1,36244,1188.5,0.096483,,,,,,
train,1,36344,1191.3,0.096233,,,,,,
train,1,36444,1194.2,0.094635,,,,,,
train,1,36544,1197.0,0.092814,,,,,,
train,1,36644,1199.9,0.092533,,,,,,
train,1,36744,1202.7,0.097132,,,,,,
train,1,36844,1205.6,0.099276,,,,,,
train,1,36944,1208.4,0.097396,,,,,,
train,1,37044,1211.3,0.094032,,,,,,
train,1,37144,1214.5,0.097746,,,,,,
train,1,37244,1217.3,0.092365,,,,,,
train,1,37344,1220.2,0.098598,,,,,,
train,1,37444,1223.0,0.094467,,,,,,
train,1,37544,1225.9,0.098222,,,,,,
train,1,37644,1228.8,0.100437,,,,,,
train,1,37744,1231.7,0.093569,,,,,,
train,1,37844,1234.5,0.094686,,,,,,
train,1,37944,1237.4,0.095637,,,,,,
train,1,38044,1240.2,0.097093,,,,,,
train,1,38144,1243.1,0.096379,,,,,,
train,1,38244,1245.9,0.090239,,,,,,
train,1,38344,1248.8,0.097114,,,,,,
train,1,38444,1251.6,0.097029,,,,,,
train,1,38544,1254.5,0.103250,,,,,,
train,1,38644,1257.3,0.096352,,,,,,
train,1,38744,1260.2,0.098079,,,,,,
train,1,38844,1263.0,0.100947,,,,,,
train,1,38944,1265.9,0.104340,,,,,,
train,1,39044,1268.8,0.097195,,,,,,
train,1,39144,1271.6,0.097207,,,,,,
train,1,39244,1274.5,0.101345,,,,,,
train,1,39344,1277.3,0.098051,,,,,,
train,1,39444,1280.2,0.100904,,,,,,
train,1,39544,1283.0,0.095658,,,,,,
train,1,39644,1285.9,0.097797,,,,,,
train,1,39744,1288.7,0.101114,,,,,,
train,1,39844,1291.6,0.096190,,,,,,
train,1,39944,1294.4,0.101275,,,,,,
train,1,40044,1297.3,0.095550,,,,,,
train,1,40144,1300.1,0.091096,,,,,,
train,1,40244,1303.0,0.091553,,,,,,
train,1,40344,1305.8,0.087047,,,,,,
train,1,40444,1308.7,0.091761,,,,,,
train,1,40544,1311.5,0.092776,,,,,,
train,1,40644,1314.4,0.093668,,,,,,
train,1,40744,1317.2,0.103754,,,,,,
train,1,40844,1320.1,0.104695,,,,,,
train,1,40944,1322.9,0.098157,,,,,,
train,1,41044,1325.7,0.102978,,,,,,
train,1,41144,1328.6,0.093974,,,,,,
train,1,41244,1331.4,0.086917,,,,,,
train,1,41344,1334.3,0.098377,,,,,,
train,1,41444,1337.1,0.091807,,,,,,
train,1,41544,1340.0,0.092223,,,,,,
train,1,41644,1342.8,0.099813,,,,,,
train,1,41744,1345.7,0.097277,,,,,,
train,1,41844,1348.5,0.096340,,,,,,
train,1,41944,1351.4,0.089384,,,,,,
train,1,42044,1354.2,0.096503,,,,,,
train,1,42144,1357.0,0.090742,,,,,,
