phase,epoch,step,elapsed_s,loss,mae,mse
train,0,22600,644.4,0.106291,,
train,0,22700,647.3,0.107523,,
train,0,22800,650.1,0.105011,,
train,0,22900,652.9,0.112759,,
train,0,23000,655.8,0.105556,,
train,0,23100,658.6,0.102818,,
train,0,23200,661.4,0.108021,,
train,0,23300,664.3,0.102635,,
train,0,23400,667.1,0.107686,,
train,0,23500,669.9,0.110381,,
train,0,23600,672.8,0.095268,,
train,0,23700,675.6,0.094730,,
train,0,23800,678.5,0.100211,,
train,0,23900,681.3,0.102460,,
train,0,24000,684.1,0.107373,,
train,0,24100,687.0,0.106730,,
train,0,24200,689.8,0.106458,,
train,0,24300,692.6,0.106432,,
train,0,24400,695.5,0.104799,,
val,0,,774.5,0.092690,0.005186,0.000051
train,1,24544,778.5,0.104111,,
train,1,24644,781.3,0.105444,,
train,1,24744,784.2,0.110211,,
train,1,24844,787.0,0.108774,,
train,1,24944,789.8,0.098509,,
train,1,25044,792.7,0.108647,,
train,1,25144,795.5,0.097425,,
train,1,25244,798.4,0.105186,,
train,1,25344,801.2,0.107278,,
train,1,25444,804.0,0.097832,,
train,1,25544,806.9,0.108514,,
train,1,25644,809.7,0.102246,,
train,1,25744,812.6,0.109492,,
train,1,25844,815.4,0.098924,,
train,1,25944,818.3,0.107279,,
train,1,26044,821.1,0.109651,,
train,1,26144,824.0,0.098749,,
train,1,26244,826.8,0.098061,,
train,1,26344,829.6,0.103774,,
train,1,26444,832.5,0.103518,,
train,1,26544,835.3,0.105199,,
train,1,26644,838.2,0.102807,,
train,1,26744,841.0,0.102408,,
train,1,26844,843.9,0.100031,,
train,1,26944,846.7,0.101092,,
train,1,27044,849.5,0.107069,,
train,1,27144,852.4,0.095447,,
train,1,27244,855.2,0.106702,,
train,1,27344,858.1,0.097462,,
train,1,27444,860.9,0.101709,,
train,1,27544,863.8,0.101025,,
train,1,27644,866.6,0.102061,,
train,1,27744,869.5,0.106910,,
train,1,27844,872.3,0.109663,,
train,1,27944,875.1,0.101127,,
train,1,28044,878.0,0.111827,,
train,1,28144,880.8,0.101444,,
train,1,28244,883.7,0.107531,,
train,1,28344,886.5,0.094675,,
train,1,28444,889.3,0.098386,,
train,1,28544,892.2,0.108753,,
train,1,28644,895.0,0.101874,,
train,1,28744,897.9,0.098460,,
train,1,28844,900.7,0.097687,,
train,1,28944,903.6,0.094032,,
train,1,29044,906.4,0.101179,,
train,1,29144,909.3,0.095941,,
train,1,29244,912.1,0.103272,,
train,1,29344,914.9,0.105649,,
train,1,29444,917.8,0.105204,,
train,1,29544,920.6,0.098847,,
train,1,29644,923.5,0.095616,,
train,1,29744,926.3,0.103935,,
train,1,29844,929.1,0.101371,,
train,1,29944,932.0,0.104250,,
train,1,30044,934.8,0.098416,,
train,1,30144,937.7,0.101995,,
train,1,30244,940.5,0.098690,,
train,1,30344,943.4,0.106060,,
train,1,30444,946.2,0.098587,,
train,1,30544,949.0,0.098057,,
train,1,30644,951.9,0.101645,,
train,1,30744,954.7,0.104925,,
train,1,30844,957.6,0.100169,,
train,1,30944,960.4,0.094770,,
train,1,31044,963.3,0.096369,,
